"Date","Time","TimeZone","Name","Type","Status","Currency","Gross","Fee","Net","FromEmailAddress","ToEmailAddress","TransactionID","CounterpartyStatus","AddressStatus","ItemTitle","ItemID","ShippingandHandlingAmount","InsuranceAmount","SalesTax","Option1Name","Option1Value","Option2Name","Option2Value","AuctionSite","BuyerID","ItemURL","ClosingDate","EscrowId","InvoiceId","ReferenceTxnID","InvoiceNumber","CustomNumber","Quantity","ReceiptID","Balance","AddressLine1","AddressLine2","City","State","Zip","Country","ContactPhoneNumber","Extra"
"2018-08-02","11:05:03","GMT","Lance van Limpt","Shopping Cart Payment Received","Completed","EUR",218,-7.28,210.72,"Lance.van.Limpt@spambob.com","N/A","SAMPLE6GW28364M140946","Non-US - Verified",,"Shopping Cart",,0,0,0,"Selected",,,,,,,"0000-00-00",,,,"12bpd815tjhymy639kaau1dzksowsko0occgc04","[%eci17270096|325a336471eci%]",2,,35206.76,"Rue du Cornet 135",,"Aubange",,6790,"BE",,
"2018-08-02","11:05:03","GMT","Lance van Limpt","Shopping Cart Item","Completed","EUR",149,0,0,"Lance.van.Limpt@spambob.com","N/A","SAMPLE6GW28364M140946","Non-US - Verified",,"Web Entrepreneurs' Club - Annual","WEC-Y",0,0,0,,,,,,,,"0000-00-00",,,,"12bpd815tjhymy639kaau1dzksowsko0occgc04","[%eci17270096|325a336471eci%]",1,,35206.76,"Rue du Cornet 135",,"Aubange",,6790,"BE",,
"2018-08-02","11:05:03","GMT","Lance van Limpt","Shopping Cart Item","Completed","EUR",69,0,0,"Lance.van.Limpt@spambob.com","N/A","SAMPLE6GW28364M140946","Non-US - Verified",,"Putler's Guide to Sales Analysis - eBook","PGSA-EB",0,0,0,,,,,,,,"0000-00-00",,,,"12bpd815tjhymy639kaau1dzksowsko0occgc04","[%eci17270096|325a336471eci%]",1,,35206.76,"Rue du Cornet 135",,"Aubange",,6790,"BE",,
"2018-08-02","16:00:27","GMT","Emely Sandberg","Web Accept Payment Received","Completed","USD",69,-2.65,66.35,"Emely.Sandberg@mailinator.com","N/A","SAMPLE2UE863529964463","Non-US - Verified",,"Putler's Guide to Sales Analysis - eBook","PGSA-EB",0,0,0,,,,,,,,"0000-00-00",,,,"12bpd81el61uis3jdu3q6geu04cggcw8kw808oo","[%b-h7e0qcb%]",1,,35273.11,"Καμίνια Πατρών 59",,"ΠΥΛΑ",,7081,"CY",4649753,
"2018-08-03","18:27:53","GMT","Radeyah Bishara","Shopping Cart Payment Received","Completed","USD",218,-7.71,210.29,"Radeyah.'Atifah.Bishara@trashymail.com","N/A","SAMPLE1SH46698AA44100","Non-US - Verified",,"Shopping Cart",,0,0,0,"Selected",,,,,,,"0000-00-00",,,,"12bpd82ofpd2w2dtf78vxzsv4kss0080s4co8cw","[%eci17302525|e161d5f43ceci%]",2,,35908.73,"21 rue Gouin de Beauchesne",,"SAINT-NAZAIRE",,44600,"FR","02.44.92.85.04",
"2018-08-03","18:27:53","GMT","Radeyah Bishara","Shopping Cart Item","Completed","USD",149,0,0,"Radeyah.'Atifah.Bishara@trashymail.com","N/A","SAMPLE1SH46698AA44100","Non-US - Verified",,"Web Entrepreneurs' Club - Annual","WEC-Y",0,0,0,,,,,,,,"0000-00-00",,,,"12bpd82ofpd2w2dtf78vxzsv4kss0080s4co8cw","[%eci17302525|e161d5f43ceci%]",1,,35908.73,"21 rue Gouin de Beauchesne",,"SAINT-NAZAIRE",,44600,"FR","02.44.92.85.04",
"2018-08-03","18:27:53","GMT","Radeyah Bishara","Shopping Cart Item","Completed","USD",69,0,0,"Radeyah.'Atifah.Bishara@trashymail.com","N/A","SAMPLE1SH46698AA44100","Non-US - Verified",,"Putler's Guide to Sales Analysis - eBook","PGSA-EB",0,0,0,,,,,,,,"0000-00-00",,,,"12bpd82ofpd2w2dtf78vxzsv4kss0080s4co8cw","[%eci17302525|e161d5f43ceci%]",1,,35908.73,"21 rue Gouin de Beauchesne",,"SAINT-NAZAIRE",,44600,"FR","02.44.92.85.04",
"2018-08-04","01:59:35","GMT","Kati Ridanpää","Web Accept Payment Received","Refunded","USD",90,-3.36,86.64,"Kati.Ridanpää@mailinator.com","N/A","SAMPLE80989267UG28597","Non-US - Unregistered",,"Wordpress Theme Pack for Web Businesses","WTPWB",0,0,0,,,,,,,,"0000-00-00",,,,"12bpd831hpqkgbc6jy27psa2gwokgcsw88gsco4","p4ebd2a5792b88c39933127f04194fcc88[%bj0uo49b%]",1,"3496-3225-1296-4951",36082.01,,,,,,,,
"2018-08-07","01:20:01","GMT","Kati Ridanpää","Refund","Completed","USD",-90,3.36,-86.64,"Kati.Ridanpää@mailinator.com",,"SAMPLE0FN17071V077536",,,,,0,0,0,,,,,,,,"0000-00-00",,,"SAMPLE80989267UG28597",,,0,,36512.9,,,,,,,,
"2018-08-09","20:05:24","GMT","Jimmy Fransson","Shopping Cart Payment Received","Completed","USD",181,-6.45,174.55,"Jimmy.Fransson@mailinator.com","N/A","SAMPLE69M898804R10131","Unverified",,"Shopping Cart",,0,0,0,"Selected",,,,,,,"0000-00-00",,,,"12bpd89ouakn5bb6vvyv776t4wskko84kcsk44g","[%eci17451184|ee03a9c342eci%]",3,,36911.62,,,,,,,,
"2018-08-09","20:05:24","GMT","Jimmy Fransson","Shopping Cart Item","Completed","USD",15,0,0,"Jimmy.Fransson@mailinator.com","N/A","SAMPLE69M898804R10131","Unverified",,"Entrepreneur - T-shirt","EN-T",0,0,0,,,,,,,,"0000-00-00",,,,"12bpd89ouakn5bb6vvyv776t4wskko84kcsk44g","[%eci17451184|ee03a9c342eci%]",1,,36911.62,,,,,,,,
"2018-08-09","20:05:24","GMT","Jimmy Fransson","Shopping Cart Item","Completed","USD",17,0,0,"Jimmy.Fransson@mailinator.com","N/A","SAMPLE69M898804R10131","Unverified",,"Traffic Building - Highway to Success - eBook","TBHS-EB",0,0,0,,,,,,,,"0000-00-00",,,,"12bpd89ouakn5bb6vvyv776t4wskko84kcsk44g","[%eci17451184|ee03a9c342eci%]",1,,36911.62,,,,,,,,
"2018-08-09","20:05:24","GMT","Jimmy Fransson","Shopping Cart Item","Completed","USD",149,0,0,"Jimmy.Fransson@mailinator.com","N/A","SAMPLE69M898804R10131","Unverified",,"Web Entrepreneurs' Club - Annual","WEC-Y",0,0,0,,,,,,,,"0000-00-00",,,,"12bpd89ouakn5bb6vvyv776t4wskko84kcsk44g","[%eci17451184|ee03a9c342eci%]",1,,36911.62,,,,,,,,
"2018-08-09","20:09:49","GMT","Jimmy Fransson","Shopping Cart Payment Received","Completed","USD",9,-0.61,8.39,"Jimmy.Fransson@mailinator.com","N/A","SAMPLE0XG58521LW20885","Unverified",,"Shopping Cart",,0,0,0,,,,,,,,"0000-00-00",,,,,,1,,36920.01,,,,,,,,
"2018-08-09","20:09:49","GMT","Jimmy Fransson","Shopping Cart Item","Completed","USD",9,0,0,"Jimmy.Fransson@mailinator.com","N/A","SAMPLE0XG58521LW20885","Unverified",,"Getting Things Done - a field guide to productivity - eBook","GTD-EB",0,0,0,,,,,,,,"0000-00-00",,,,,,1,,36920.01,,,,,,,,
"2018-08-10","16:41:57","GMT","Putler","Subscription Payment Sent","Completed","USD",-5,0,-5,"N/A","orders@safetymail.info","SAMPLE71U72607FN77522","Non-US - Verified",,"Putler Standard - Monthly",5,0,0,0,,,,,,,,"0000-00-00",,,,,,0,,37695.35,,,,,,,,
"2018-08-11","14:20:20","GMT","Mariam Buley","Shopping Cart Payment Received","Completed","USD",69,-2.65,66.35,"Mariam.Buley@pookmail.com","N/A","SAMPLE44H94591NM68485","Non-US - Unregistered",,"Shopping Cart",,0,0,0,"Selected",,,,,,,"0000-00-00",,,,"12bpd8bq622hnh27ida815fnpcow04cg004ogcc","[%eci17498817|e8e0a02a49eci%]",1,"2387-1539-6960-8690",38151.72,,,,,,,,
"2018-08-11","14:20:20","GMT","Mariam Buley","Shopping Cart Item","Completed","USD",69,0,0,"Mariam.Buley@pookmail.com","N/A","SAMPLE44H94591NM68485","Non-US - Unregistered",,"Putler's Guide to Sales Analysis - eBook","PGSA-EB",0,0,0,,,,,,,,"0000-00-00",,,,"12bpd8bq622hnh27ida815fnpcow04cg004ogcc","[%eci17498817|e8e0a02a49eci%]",1,"2387-1539-6960-8690",38151.72,,,,,,,,
"2018-08-11","16:47:29","GMT","Souhei Utsumi","Shopping Cart Payment Received","Completed","USD",218,-7.71,210.29,"Souhei.Utsumi@mailinator.com","N/A","SAMPLE7EY25845B919269","Non-US - Unverified",,"Shopping Cart",,0,0,0,"Selected",,,,,,,"0000-00-00",,,,"12bpd8budo1clycgjufiyejw8w0484kwg0c40ow","[%eci17500926|27b0dbe4b1eci%]",2,,38362.01,,,,,,,,
"2018-08-11","16:47:29","GMT","Souhei Utsumi","Shopping Cart Item","Completed","USD",149,0,0,"Souhei.Utsumi@mailinator.com","N/A","SAMPLE7EY25845B919269","Non-US - Unverified",,"Web Entrepreneurs' Club - Annual","WEC-Y",0,0,0,,,,,,,,"0000-00-00",,,,"12bpd8budo1clycgjufiyejw8w0484kwg0c40ow","[%eci17500926|27b0dbe4b1eci%]",1,,38362.01,,,,,,,,
